Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
376,Mitchell Evans,CAR,TE,5,,274,65,22.5,9.5,30.0,1.4,0.8,9.0,0.0,0.0,1.0,1.7,58.0,47.7,2.6,6.2,30458,,1289471
377,Jelani Woods,NYJ,TE,13,,275,66,22.3,3.0,27.6,,,,,,,,28.0,26.0,,,28676,87469,975503
378,Treylon Burks,WAS,WR,7,,362,130,22.2,4.8,50.4,1.1,2.2,6.0,0.0,0.0,1.0,2.5,30.0,49.0,4.8,6.7,28622,110259,1172024
379,CJ Donaldson,NO,RB,8,,394,98,22.2,3.4,45.1,0.6,0.7,2.0,0.0,0.0,1.0,2.5,,,,,31713,,
380,Brenen Thompson,LAC,WR,7,,363,131,22.1,3.5,44.7,1.8,,13.0,0.0,1.0,3.0,3.0,18.0,18.0,25.0,25.0,31926,,
381,Lil'Jordan Humphrey,DEN,WR,10,,365,132,21.9,3.4,36.6,0.0,,0.0,0.0,0.0,1.0,1.0,5.0,16.0,33.3,33.3,27297,71031,920758
382,Seth McGowan,IND,RB,13,,399,99,21.9,1.1,45.8,0.2,0.5,0.0,0.0,0.0,2.0,1.5,6.0,8.5,50.0,33.4,31526,,
383,Ian Thomas,LVR,TE,13,,276,67,21.8,7.1,26.2,1.6,,11.0,0.0,0.0,1.0,1.0,49.0,44.7,3.2,3.2,5098,72515,943093
384,LeQuint Allen Jr.,JAX,RB,7,,400,100,21.8,10.5,31.7,0.0,,0.0,0.0,0.0,1.0,1.0,15.0,11.7,11.1,11.1,30530,,1378840
385,Kevin Austin Jr.,NO,WR,8,,373,133,21.3,4.3,32.4,3.5,4.5,22.0,0.0,0.0,1.0,5.0,7.0,36.7,20.0,16.8,29158,,1130526
386,Tutu Atwell,LA,WR,11,,374,134,21.1,3.4,28.7,2.4,0.0,19.0,0.0,0.0,2.0,2.5,,13.0,,30.0,28062,92976,1106760
387,Ronnie Rivers,LA,RB,11,Q,404,101,21.1,2.5,41.5,1.4,2.9,12.0,0.0,0.0,,3.0,,8.5,,37.5,29030,91971,976804
388,Makai Lemon,PHI,WR,10,,375,135,20.8,5.7,32.9,1.7,0.4,2.0,0.0,0.0,2.0,3.0,63.0,63.5,4.2,7.8,31279,,
389,DeeJay Dallas,MIN,RB,6,,406,102,20.8,3.6,36.0,1.0,2.5,7.0,0.0,0.0,3.0,1.3,15.0,8.0,37.5,27.1,27587,94087,976309
390,Nate Adkins,DEN,TE,10,,284,68,20.5,7.8,30.6,5.7,11.3,19.0,0.5,0.0,4.0,2.0,37.0,33.7,17.4,8.7,29603,,1132517
391,Dohnte Meyers,CIN,WR,6,,379,136,20.4,2.3,33.2,1.6,3.3,14.0,0.0,0.0,1.0,1.5,,,,,31266,,
392,Luke Musgrave,GB,TE,11,,286,69,20.2,8.2,28.6,,,,,,,,,4.0,,,29203,,1179790
393,Brock Wright,DET,TE,6,,290,70,19.9,8.8,31.9,0.5,1.0,2.5,0.0,0.0,0.0,0.5,26.0,38.5,0.0,1.3,28510,91046,978120
394,Khalil Herbert,ATL,RB,11,,413,103,19.9,3.1,19.9,5.1,,46.0,0.0,0.0,,14.0,,67.0,,43.8,28222,72412,935104
395,Blake Whiteheart,CLE,TE,11,,291,71,19.8,8.3,27.6,3.4,8.2,10.3,0.3,0.0,2.0,1.3,47.0,50.3,7.4,5.1,29503,,1109731
396,Will Kacmarek,MIA,TE,6,,292,72,19.8,2.2,39.1,0.5,0.9,2.0,0.0,0.0,1.0,1.0,47.0,36.0,3.6,5.3,31899,,
397,Davis Allen,LA,TE,11,,294,73,19.5,6.0,23.7,1.0,1.8,6.7,0.0,0.0,1.0,1.0,,52.5,,3.3,29336,,1161664
398,Dylan Sampson,CLE,RB,11,,417,104,19.5,5.1,33.3,2.7,5.4,22.0,0.0,0.0,,6.5,,25.0,,50.0,30421,,1399910
399,Odell Beckham Jr.,NYG,WR,8,,393,137,19.2,3.5,35.2,,,,,,,,,16.0,,,5423,31360,589984
400,KhaDarel Hodge,SF,WR,8,,395,138,19.1,3.3,25.4,1.1,2.3,9.0,0.0,0.0,1.0,0.5,38.0,20.0,5.0,2.5,26474,85306,757521
401,Jaylin Lane,WAS,WR,7,,401,139,18.7,2.8,35.0,0.5,0.9,2.0,0.0,0.0,0.0,0.5,15.0,20.5,0.0,2.8,30423,,1214689
402,Brevyn Spann-Ford,DAL,TE,14,,300,74,18.3,9.1,26.4,2.1,4.0,14.7,0.0,0.0,0.0,1.7,38.0,30.3,0.0,11.0,29818,,1108202
403,Demond Claiborne,MIN,RB,6,,432,105,18.3,1.7,39.2,0.7,,2.0,0.0,0.0,1.0,1.0,4.0,4.0,50.0,50.0,31505,,
404,Travis Homer,PIT,RB,9,,438,106,17.9,2.0,38.2,0.8,1.6,8.0,0.0,0.0,2.0,1.0,3.0,1.5,100.0,100.0,27090,71444,922484
405,Jackson Hawes,BUF,TE,7,,302,75,17.8,4.7,21.2,0.5,,0.0,0.0,0.0,,1.0,50.0,40.7,,4.5,30468,,
406,Rasheen Ali,BAL,RB,13,,441,107,17.7,3.4,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,5.3,,12.5,29800,,1229133
407,Chris Bell,MIA,WR,6,,410,140,17.6,2.0,38.0,1.5,3.0,12.5,0.0,0.0,1.0,1.5,41.0,46.5,4.2,5.6,31900,,
408,Sione Vaki,DET,RB,6,,444,108,17.4,6.0,32.2,1.6,2.5,12.7,0.0,0.0,2.0,1.7,17.0,15.3,18.2,15.9,29857,,1381164
409,Frank Gore Jr.,BUF,RB,7,,446,109,17.3,2.8,34.9,0.3,,3.0,0.0,0.0,,1.0,12.0,15.5,,9.1,29988,,
410,Efton Chism III,NE,WR,11,,418,141,17.1,7.0,20.3,2.2,3.5,16.5,0.0,0.0,1.0,1.0,18.0,31.0,10.0,6.9,30690,,
