Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
468,Ben Skowronek,PIT,WR,9,,493,165,11.3,1.5,22.7,0.3,0.7,1.0,0.0,0.0,1.0,0.5,21.0,10.7,6.7,3.4,28254,71105,920944
469,Bub Means,CLE,WR,11,,494,166,11.3,0.0,24.0,,,,,,,,,,,,29788,,1172080
470,Israel Abanikanda,DAL,RB,14,,500,128,11.0,1.4,13.4,,,,,,,,,,,,29304,,1214249
471,Jalen Reagor,MIA,WR,6,,497,167,10.9,2.1,39.9,,,,,,,,,,,,27464,94625,976066
472,Jalen Tolbert,MIA,WR,6,,498,168,10.9,2.5,21.3,0.0,,0.0,0.0,0.0,,1.0,,38.0,,4.8,28691,88548,1066424
473,Lan Larison,NE,RB,11,,501,129,10.9,0.4,20.3,1.9,,9.0,0.0,0.0,,2.0,,4.0,,66.7,30598,,1215658
474,Tyrell Shavers,BUF,WR,7,,499,169,10.8,6.5,16.8,,,,,,,,,5.0,,,29731,,
475,Gunner Olszewski,NYG,WR,8,,502,170,10.7,5.6,23.9,14.2,,102.0,0.0,0.0,,10.0,,84.0,,15.9,27190,104577,1168410
476,Tyler Conklin,DET,TE,6,,350,92,10.6,3.7,15.8,1.1,,6.0,0.0,0.0,,1.0,6.0,17.0,,4.3,5154,60451,861278
477,Eric Saubert,SEA,TE,11,,351,93,10.5,1.1,13.4,0.8,2.0,0.0,0.0,0.0,1.0,1.3,24.0,38.0,5.9,4.0,4578,79980,694931
478,Keleki Latu,BUF,TE,7,,352,94,10.5,2.1,14.2,1.5,4.6,10.3,0.0,0.0,0.0,1.0,8.0,27.7,0.0,2.0,30704,,
479,Charlie Woerner,ATL,TE,11,,355,95,10.2,1.9,16.9,0.0,,0.0,0.0,0.0,1.0,1.0,49.0,39.0,2.9,2.9,27632,71351,922040
480,Carsen Ryan,CLE,TE,11,,356,96,10.2,0.4,16.5,0.0,,0.0,0.0,0.0,,0.0,2.0,1.0,,,31532,,
481,Marquez Valdes-Scantling,LAC,WR,7,,506,171,10.2,4.2,11.2,5.9,,34.0,0.0,0.0,,7.0,,84.0,,11.1,5171,40647,742382
482,Montorie Foster Jr,SEA,WR,11,,507,172,10.2,1.3,18.4,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,31236,,
483,Patrick Ricard,NYG,RB,8,,508,130,10.2,4.1,22.9,0.7,1.3,4.0,0.0,0.0,,1.0,,52.5,,3.2,4583,80299,658389
484,Andrew Ogletree,IND,TE,13,,357,97,10.0,2.5,14.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,20.0,5.3,11.0,28793,147049,1271740
485,Amar Johnson,LAC,RB,7,,509,131,9.9,1.7,22.2,,,,,,,,,,,,30697,,
486,Tylan Wallace,CLE,WR,11,,511,173,9.9,1.8,14.5,,,,,,,,24.0,18.3,,,28136,87515,1062546
487,Brandon Johnson,PIT,WR,9,,512,174,9.8,3.0,16.5,,,,,,,,,,,,29065,,
488,Jalen Brooks,ARI,WR,14,,515,175,9.7,0.7,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,29405,,1223301
489,Malachi Corley,CLE,WR,11,,516,176,9.7,0.7,9.7,1.6,4.8,12.7,0.0,0.0,0.0,1.7,0.0,14.0,,22.7,30031,,1215291
490,Savion Williams,GB,WR,11,,517,177,9.6,1.5,11.2,,,,,,,,,,,,28660,,1213872
491,Treyton Welch,NO,TE,8,,358,98,9.5,0.8,16.6,0.0,,0.0,0.0,0.0,,0.0,,,,,31028,,
492,Jordan Watkins,SF,WR,8,,518,178,9.5,1.8,16.2,,,,,,,,,,,,30433,,1222835
493,Josh Whyle,GB,TE,11,,361,99,9.3,4.5,16.5,0.9,,4.0,0.0,0.0,,1.0,0.0,29.7,,2.7,29308,,1107037
494,Elijah Moore,PHI,WR,10,,519,179,9.3,1.7,13.9,,,,,,,,,,,,28039,88575,1128783
495,David Moore,CAR,WR,5,,521,180,9.2,4.6,18.4,,,,,,,,,,,,5302,79987,1049915
496,Calvin Austin III,NYG,WR,8,,524,181,9.1,5.8,17.2,13.0,,55.0,1.0,0.0,,7.0,,49.0,,18.9,28740,90870,1062765
497,Hassan Haskins,NE,RB,11,,520,132,9.0,3.4,13.9,0.3,,3.0,0.0,0.0,,1.0,,4.0,,33.3,28733,91361,1130230
498,Adam Prentice,DEN,RB,10,,522,133,8.8,2.8,13.0,0.3,0.7,1.0,0.0,0.0,1.0,0.5,13.0,15.0,12.5,6.2,28419,65231,885540
499,Jacardia Wright,SEA,RB,11,,523,134,8.8,1.8,16.5,,,,,,,,,,,,30675,,
500,Bauer Sharp,TB,TE,10,,364,100,8.7,0.3,15.3,0.0,,0.0,0.0,0.0,,0.0,5.0,3.5,,0.0,31495,,
501,Andrew Beck,NYJ,RB,13,,526,135,8.7,3.1,13.4,3.4,6.7,1.0,0.5,0.0,0.0,1.0,5.0,14.3,0.0,8.3,27262,54426,824428
502,Sterling Shepard,NYJ,WR,13,,529,182,8.7,3.4,10.5,,,,,,,,,,,,4245,27477,691278
503,Cole Turner,MIA,TE,6,,368,101,8.6,3.0,8.6,,,,,,,,,0.0,,,28751,94345,1122692
504,Roschon Johnson,CHI,RB,10,,527,136,8.6,1.5,18.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.5,,,29276,,1163265
505,Cedric Tillman,NO,WR,8,,530,183,8.6,4.4,15.3,2.8,,23.0,0.0,0.0,,2.0,,77.0,,5.0,29235,,
506,Jordan Whittington,LA,WR,11,O,532,184,8.5,1.1,11.3,0.7,1.3,4.0,0.0,0.0,,0.5,,20.5,,4.0,29850,,1163273
507,Ke'Shawn Williams,CIN,WR,6,,533,185,8.5,1.1,22.2,0.9,,9.0,0.0,0.0,,1.0,,3.0,,50.0,30689,,
508,Theo Wease Jr.,LAC,WR,7,,534,186,8.5,3.4,16.1,5.9,,44.0,0.0,0.0,,5.0,,34.0,,26.3,30719,,
509,David Martin-Robinson,TEN,TE,9,,370,102,8.4,0.5,11.1,1.9,,14.0,0.0,0.0,,3.0,13.0,18.0,,13.6,30082,,1124199
510,Ty Chandler,NO,RB,8,,528,137,8.3,6.4,14.6,4.9,,34.0,0.0,0.0,,14.0,,43.0,,48.3,28771,87371,1059576
511,Casey Washington,CAR,WR,5,,536,187,8.3,6.4,22.8,,,,,,,,,,,,29758,,1176431
512,Nick Muse,ATL,TE,11,Q,371,103,8.2,0.9,16.8,0.0,,0.0,0.0,0.0,,0.0,20.0,14.0,,0.0,28828,96254,1049792
513,Mitchell Tinsley,HOU,WR,8,,538,188,8.2,5.1,8.4,,,,,,,,,12.0,,,29456,,1215305
514,Chris Manhertz,NYG,TE,8,,372,104,8.0,2.4,14.5,0.0,,0.0,0.0,0.0,,1.0,,33.0,,4.3,4519,18009,563293
515,Nate Carter,KC,RB,5,,531,138,8.0,1.8,11.9,,,,,,,,,3.0,,,30619,,
516,Simi Fehoko,ARI,WR,14,,541,189,7.9,1.1,19.3,0.0,,0.0,0.0,0.0,,0.0,12.0,10.0,,0.0,28184,89613,1123496
517,Kameron Johnson,TB,WR,10,,542,190,7.9,0.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,30110,,1412326
518,D.J. Montgomery,IND,WR,13,,544,191,7.8,1.3,22.1,,,,,,,,,,,,27289,95455,1063397
519,Phil Mafah,NYG,RB,8,,535,139,7.7,2.2,8.8,9.9,,29.0,1.0,0.0,,7.0,,18.0,,70.0,30533,,1287641
520,Kaden Davis,CHI,WR,10,,546,192,7.7,0.8,9.4,0.0,,0.0,0.0,0.0,,0.0,,13.0,,0.0,29574,,1386002
521,Jimmy Horn Jr.,CLE,WR,11,,547,193,7.7,1.9,13.2,1.0,2.0,7.5,0.0,0.0,,1.0,,26.0,,6.7,30502,,1322393
522,Craig Reynolds,WAS,RB,7,,539,140,7.5,2.3,26.5,,,,,,,,,,,,27355,104424,1167356
523,Julius Chestnut,TEN,RB,9,,540,141,7.5,0.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29002,170184,1125846
524,Ashton Dulin,IND,WR,13,O,550,194,7.4,3.9,9.7,0.0,0.0,0.0,0.0,0.0,,1.5,,28.0,,9.2,27327,104012,1166036
525,Tai Felton,MIN,WR,6,,553,195,7.3,1.0,9.9,0.0,,0.0,0.0,0.0,,0.0,0.0,6.0,,0.0,30397,,1287587
526,David Sills,TB,WR,10,,555,196,7.2,4.5,7.2,1.6,,11.0,0.0,0.0,,1.0,,71.0,,2.2,27408,61555,866973
527,Mason Tipton,NO,WR,8,,559,197,7.1,4.3,14.4,,,,,,,,,,,,30103,,1182695
528,Robert Tonyan,PIT,TE,9,,378,105,7.0,1.8,8.6,,,,,,,,3.0,3.0,,,26332,80353,660151
529,Dameon Pierce,PHI,RB,10,,545,142,6.9,2.0,14.2,1.0,,10.0,0.0,0.0,,4.0,,8.0,,80.0,28710,86055,1108998
530,Devin Duvernay,ARI,WR,14,,563,198,6.9,0.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,27535,71032,920756
531,Trey Palmer,NO,WR,8,,564,199,6.9,2.7,22.2,,,,,,,,,,,,29352,,1161739
532,Cameron Latu,NE,TE,11,,380,106,6.8,1.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.3,0.0,0.0,29262,,1125739
533,Dylan Laube,LVR,RB,13,,548,143,6.8,0.6,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.3,0.0,0.0,29827,,1122182
534,Jeshaun Jones,MIN,WR,6,,567,200,6.8,0.5,16.5,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,30282,,1106382
535,Lucas Krull,DEN,TE,10,,381,107,6.7,2.2,6.7,,,,,,,,,,,,29072,,1122323
536,Xavier Restrepo,TEN,WR,9,,568,201,6.7,1.4,17.2,,,,,,,,,,,,30552,,1214183
537,Chris Myarick,LVR,TE,13,,383,108,6.5,1.1,11.1,,,,,,,,5.0,6.0,,,27715,56947,838318
538,Kendall Milton,CIN,RB,6,,549,144,6.5,1.0,11.9,,,,,,,,,,,,29747,,1213345
539,Nikko Remigio,KC,WR,5,,571,202,6.5,0.7,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29511,,1127080
540,Ben VanSumeren,KC,RB,5,,551,145,6.4,0.3,15.8,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,29544,,1130245
541,Jacob Saylors,DET,RB,6,,552,146,6.4,0.1,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29656,,1131457
542,Dont'e Thornton Jr.,LVR,WR,13,,572,203,6.4,2.6,9.8,0.0,,0.0,0.0,0.0,,1.0,,13.0,,12.5,30403,,1286164
543,Nick Vannett,BAL,TE,13,,384,109,6.3,5.3,8.5,,,,,,,,,17.0,,,4431,28570,606488
544,Kylen Granson,TEN,TE,9,,385,110,6.3,4.0,11.3,5.0,,30.0,0.0,0.0,,5.0,,38.5,,10.2,28132,71143,921050
545,Kalel Mullings,TEN,RB,9,,554,147,6.3,1.9,6.3,,,,,,,,,0.0,,,30482,,1229673
546,K.J. Osborn,TEN,WR,9,,573,204,6.3,2.7,9.0,,,,,,,,,,,,27618,63855,881058
547,Julian Hill,NE,TE,11,,386,111,6.2,4.4,11.1,1.3,,8.0,0.0,0.0,,1.0,,61.0,,2.9,29601,,1123630
548,E.J. Jenkins,PHI,TE,10,,387,112,6.1,0.9,10.6,,,,,,,,33.0,17.5,,,29725,,1051781
549,Brittain Brown,CHI,RB,10,,556,148,6.1,0.7,8.5,,,,,,,,,,,,28851,71459,922451
550,Tyler Goodson,DAL,RB,14,,557,149,6.1,1.3,10.8,0.3,,3.0,0.0,0.0,,1.0,,5.0,,33.3,29094,,1168918
551,Josh Williams,TB,RB,10,,558,150,6.1,0.9,7.4,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,30785,,
552,Anthony Gould,IND,WR,13,,575,205,6.1,0.3,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29778,,1161661
553,Feleipe Franks,CAR,TE,5,,388,113,6.0,0.3,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.3,0.0,0.0,28421,69302,910377
554,Payne Durham,TB,TE,10,,389,114,5.9,1.1,6.1,0.0,,0.0,0.0,0.0,,1.0,6.0,15.0,,5.6,29332,,1130260
555,Jerome Ford,MIN,RB,6,,560,151,5.9,2.1,5.9,,,,,,,,,,,,28758,90533,1125737
556,Cody Schrader,DEN,RB,10,,561,152,5.8,0.1,6.2,,,,,,,,,,,,29877,,1140248
557,Jarquez Hunter,MIA,RB,6,,562,153,5.8,1.7,14.4,,,,,,,,,,,,30412,,1319185
558,Jonathan Ward,BAL,RB,13,,565,154,5.7,1.3,12.1,,,,,,,,,,,,27875,69068,912553
559,Lew Nichols III,PIT,RB,9,,566,155,5.7,0.3,5.7,,,,,,,,,,,,29396,,1166480
560,Dominic Lovett,DET,WR,6,,578,206,5.7,1.2,5.7,,,,,,,,,,,,30538,,1286480
561,Brayden Willis,SF,TE,8,,390,115,5.6,0.9,8.9,0.0,,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,29408,,1125589
562,Tip Reiman,ARI,TE,14,,391,116,5.6,2.7,6.3,,,,,,,,,,,,29923,,1229489
563,Tim Patrick,NYJ,WR,13,,579,207,5.6,2.0,5.6,0.9,,4.0,0.0,0.0,,1.0,,36.0,,4.5,26269,57091,838179
564,Beaux Collins,ATL,WR,11,,580,208,5.6,1.2,14.7,,,,,,,,,,,,30650,,1287705
565,Nick Kallerup,SEA,TE,11,,392,117,5.5,1.0,6.7,,,,,,,,27.0,27.0,,,30592,,1164736
566,Zamir White,NO,RB,8,,569,156,5.5,2.0,6.4,1.5,,10.0,0.0,0.0,,2.0,,3.0,,100.0,28724,91578,1110697
567,Zavier Scott,CHI,RB,10,,570,157,5.5,2.0,5.5,2.2,,17.0,0.0,0.0,,4.0,,9.0,,66.7,29673,,1067309
568,Ja'Kobi Lane,BAL,WR,13,,581,209,5.5,1.5,7.4,1.6,,11.0,0.0,0.0,,3.0,,40.0,,11.1,31282,,
569,Tom Kennedy,DET,WR,6,,582,210,5.4,0.3,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,0.0,27326,104388,837087
570,Britain Covey,PHI,WR,10,,585,211,5.3,0.1,6.5,1.0,3.0,6.7,0.0,0.0,0.0,1.3,0.0,18.3,,11.4,28983,64147,882718
571,Xavier Gipson,PHI,WR,10,,586,212,5.3,1.3,7.3,,,,,,,,,0.0,,,29429,,1177970
572,Dalen Cambre,NYG,WR,8,,587,213,5.3,0.7,5.3,0.0,,0.0,0.0,0.0,,0.0,,9.0,,0.0,30703,,
573,Ko Kieft,TB,TE,10,,396,118,5.2,1.0,6.1,,,,,,,,0.0,1.0,,,28819,68714,911239
574,Cam Grandy,MIN,TE,6,,397,119,5.2,1.3,6.3,,,,,,,,,,,,30202,,1251513
575,Ronnie Bell,LVR,WR,13,,588,214,5.2,2.8,7.4,9.3,,23.0,1.0,0.0,,4.0,,53.0,,11.1,29414,,1130213
576,Stone Smartt,NO,TE,8,,398,120,5.1,2.3,5.1,,,,,,,,,62.0,,,28929,103966,1056865
577,Tay Martin,DET,WR,6,,590,215,5.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29047,93845,1065052
578,Jalin Hyatt,NYG,WR,8,,591,216,4.9,3.4,14.9,,,,,,,,,,,,29234,,1232892
579,Johnny Wilson,PHI,WR,10,,592,217,4.9,1.1,8.0,,,,,,,,,,,,29751,,
580,Charlie Jones,NYG,WR,8,,594,218,4.7,1.7,8.8,,,,,,,,,,,,29292,,1067132
581,Jalen Moreno-Cropper,NO,WR,8,,595,219,4.7,0.4,4.7,,,,,,,,,,,,29426,,1170916
582,Zaire Mitchell-Paden,HOU,TE,8,,402,121,4.6,1.3,11.4,,,,,,,,,,,,29115,,1289220
583,Scott Miller,CHI,WR,10,,597,220,4.6,2.4,7.8,1.9,,9.0,0.0,0.0,,2.0,,21.0,,12.5,27144,61273,866578
584,Grant Calcaterra,PHI,TE,10,,403,122,4.4,3.5,8.7,9.1,,21.0,1.0,0.0,,3.0,,44.0,,10.7,28799,86682,976221
585,Dare Ogunbowale,LVR,RB,13,,576,158,4.4,1.5,4.4,1.4,,9.0,0.0,0.0,,3.0,,13.0,,33.3,21853,28827,703015
586,Trevor Etienne,CAR,RB,5,,577,159,4.3,2.1,5.3,0.0,,0.0,0.0,0.0,,0.0,,2.0,,0.0,30409,,1394803
587,Michael Bandy,DEN,WR,10,,600,221,4.3,2.3,10.8,,,,,,,,,,,,28546,154661,920482
588,Nick Westbrook-Ikhine,IND,WR,13,,601,222,4.2,1.7,4.2,0.0,,0.0,0.0,0.0,,0.0,,11.0,,0.0,27834,64389,883259
589,Irvin Charles,SEA,WR,11,,602,223,4.2,0.2,14.6,,,,,,,,,,,,29102,,883312
590,Moliki Matavao,NO,TE,8,,405,123,4.1,1.3,4.1,,,,,,,,,35.0,,,30542,,1286173
591,Ray-Ray McCloud,NYG,WR,8,,603,224,4.0,1.6,4.0,,,,,,,,,,,,5184,62055,867759
592,Dylan Drummond,ATL,WR,11,,604,225,4.0,0.7,4.0,0.0,,0.0,0.0,0.0,,0.0,,16.0,,0.0,29638,,1108534
593,Gage Larvadain,BAL,WR,13,,605,226,4.0,1.7,4.0,0.0,,0.0,0.0,0.0,,0.0,,8.0,,0.0,30626,,1323007
594,Alex Bachman,LA,WR,11,,606,227,3.9,1.4,8.2,0.0,,0.0,0.0,0.0,,0.0,,6.0,,0.0,27192,64634,884315
595,Jack Stoll,SF,TE,8,,408,124,3.8,2.3,5.3,,,,,,,,,,,,28400,69451,911985
596,Austin Trammell,JAX,WR,7,,609,228,3.6,2.0,4.7,,,,,,,,,,,,28555,88685,1056660
597,Teagan Quitoriano,ARI,TE,14,,411,125,3.4,1.3,3.7,,,,,,,,,3.0,,,28772,93026,1128538
598,Jake Bobo,SEA,WR,11,,610,229,3.4,1.8,4.7,,,,,,,,,13.0,,,29552,,1121050
599,KeAndre Lambert-Smith,LAC,WR,7,,611,230,3.4,2.1,5.2,3.4,,24.0,0.0,0.0,,5.0,,16.0,,21.7,30453,,1214405
600,Robbie Ouzts,SEA,RB,11,,589,160,3.3,0.9,3.4,,,,,,,,,30.0,,,30470,,1285958
601,Coleman Owen,IND,WR,13,,612,231,3.3,0.3,4.5,,,,,,,,,,,,30716,,
602,Deven Thompkins,LVR,WR,13,,613,232,3.2,0.6,3.2,0.0,,0.0,0.0,0.0,,0.0,,8.0,,0.0,29025,94481,1130833
603,Stephen Carlson,CHI,TE,10,,415,126,3.1,0.4,5.7,,,,,,,,,,,,27367,104008,881697
604,James Mitchell,DAL,TE,14,,416,127,3.0,2.1,4.9,,,,,,,,,8.0,,,28778,85986,1123712
605,Eric Gray,CLE,RB,11,,593,161,3.0,1.5,3.4,,,,,,,,,0.0,,,29333,,1161798
606,Tyler Johnson,NYJ,WR,13,,614,233,2.8,1.6,3.2,,,,,,,,,,,,26938,68712,911236
607,Will Mallory,IND,TE,13,,419,128,2.7,2.2,2.7,,,,,,,,,,,,29323,,1121873
608,Trey Sermon,ATL,RB,11,,596,162,2.7,0.8,3.8,,,,,,,,,,,,28093,86646,976236
609,Thomas Fidone II,NYG,TE,8,O,420,129,2.6,0.4,2.6,,,,,,,,,,,,30513,,1287655
610,Ben Yurosek,MIN,TE,6,,421,130,2.5,2.2,2.9,1.4,,9.0,0.0,0.0,,1.0,,39.0,,3.8,30662,,1216808
611,Jack Westover,WAS,TE,7,,426,131,2.3,1.1,2.3,0.5,,0.0,0.0,0.0,,1.0,,36.0,,4.8,29911,,1121863
612,Bryce Oliver,HOU,WR,8,,618,234,2.2,1.2,3.8,,,,,,,,,35.0,,,30199,,1113398
613,Jared Wiley,KC,TE,5,,429,132,2.1,0.4,2.1,0.0,,0.0,0.0,0.0,,0.0,,19.0,,0.0,29971,,1163272
614,Hayden Rucci,JAX,TE,7,,430,133,2.1,0.5,2.1,,,,,,,,,,,,30245,,1180294
615,Trent Sherfield,BUF,WR,7,,619,235,2.0,1.3,5.9,,,,,,,,,,,,26408,56059,835861
616,Nikola Kalinic,CHI,TE,10,,433,134,1.8,0.4,1.8,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,28596,,1166045
617,Princeton Fant,DAL,TE,14,,434,135,1.8,1.1,1.8,,,,,,,,,,,,29662,,1059585
618,Tim Jones,JAX,WR,7,,620,236,1.8,1.0,1.8,,,,,,,,,,,,28994,89437,1056747
619,Josiah Deguara,PHI,TE,10,,435,136,1.7,0.9,2.1,8.5,,15.0,1.0,0.0,,2.0,,11.0,,33.3,27537,61112,866149
620,Isaac Guerendo,SF,RB,8,,608,163,1.4,0.5,1.4,,,,,,,,,,,,29872,,1126338
621,Pharaoh Brown,IND,TE,13,,440,137,1.3,1.3,3.7,0.0,,0.0,0.0,0.0,,0.0,,22.0,,0.0,14648,29411,689689
622,Carter Runyon,LVR,TE,13,,445,138,1.0,0.5,3.4,,,,,,,,,13.0,,,30679,,
623,Justin Shorter,LVR,TE,13,,450,139,0.6,0.2,0.6,,,,,,,,,,,,29311,,1121887
